Club,Expenditure,Income,Balance
Arsenal FC,€167.40m,€31.40m,€-136.00m
Manchester United,€142.00m,€31.10m,€-110.90m
Manchester City,€138.90m,€93.80m,€-45.10m
Newcastle United,€130.50m,-,€-130.50m
Aston Villa,€129.80m,€127.00m,€-2.80m
Chelsea FC,€118.00m,€157.59m,€39.59m
Tottenham Hotspur,€95.90m,€34.62m,€-61.28m
Liverpool FC,€89.00m,€31.65m,€-57.35m
Crystal Palace,€85.62m,-,€-85.62m
Brighton & Hove Albion,€75.58m,€78.80m,€3.22m
West Ham United,€74.50m,€4.24m,€-70.27m
Leicester City,€67.60m,€4.00m,€-63.60m
Norwich City,€63.55m,€38.40m,€-25.15m
Southampton FC,€63.40m,€60.35m,€-3.05m
Leeds United,€59.30m,-,€-59.30m
Burnley FC,€49.40m,€40.50m,€-8.90m
Watford FC,€43.50m,€12.85m,€-30.65m
Everton FC,€39.50m,€46.00m,€6.50m
Brentford FC,€38.20m,€1.00m,€-37.20m
Wolverhampton Wanderers,€37.60m,€31.80m,€-5.80m
